Sensor position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+14.45800781 +2.77294922 -4.57031250 -131.66015625 +74.06982422 -91.49414063 +1554322408.89750004 +652
+16.23779297 -2.18408203 -5.63378906 +141.81152344 +54.14062500 -66.62109375 +1554322408.89750004 +984
+14.46240234 +2.76855469 -4.57031250 -131.72607422 +74.06982422 -91.58203125 +1554322408.90159988 +652
+16.23779297 -2.18847656 -5.63378906 +141.81152344 +54.16259766 -66.66503906 +1554322408.90159988 +984
+14.46240234 +2.76416016 -4.56591797 -131.77001953 +74.06982422 -91.66992188 +1554322408.90580010 +652
+16.23339844 -2.18847656 -5.63818359 +141.85546875 +54.16259766 -66.68701172 +1554322408.90580010 +984
+14.46679688 +2.76416016 -4.56591797 -131.81396484 +74.06982422 -91.75781250 +1554322408.91000009 +656
+16.23339844 -2.18847656 -5.63818359 +141.87744141 +54.16259766 -66.73095703 +1554322408.91000009 +984
+14.47119141 +2.75976563 -4.56152344 -131.85791016 +74.06982422 -91.82373047 +1554322408.91409993 +656
+16.22900391 -2.18847656 -5.63818359 +141.87744141 +54.18457031 -66.77490234 +1554322408.91409993 +984
+14.47119141 +2.75537109 -4.56152344 -131.87988281 +74.09179688 -91.88964844 +1554322408.91829991 +656
+16.22900391 -2.18847656 -5.63378906 +141.89941406 +54.20654297 -66.84082031 +1554322408.91829991 +984
+14.47558594 +2.75537109 -4.55712891 -131.87988281 +74.11376953 -91.93359375 +1554322408.92249990 +656
+16.22460938 -2.18847656 -5.63378906 +141.92138672 +54.20654297 -66.88476563 +1554322408.92249990 +984
+14.47558594 +2.75097656 -4.55273438 -131.90185547 +74.11376953 -91.99951172 +1554322408.92659998 +660
+16.22460938 -2.18847656 -5.63378906 +141.92138672 +54.22851563 -66.92871094 +1554322408.92659998 +984
+14.47998047 +2.75097656 -4.55273438 -131.90185547 +74.13574219 -92.04345703 +1554322408.93079996 +660
+16.22021484 -2.18847656 -5.63378906 +141.94335938 +54.25048828 -66.97265625 +1554322408.93079996 +988
+14.47998047 +2.75097656 -4.54833984 -131.92382813 +74.15771484 -92.08740234 +1554322408.93499994 +660
+16.22021484 -2.18847656 -5.62939453 +141.94335938 +54.25048828 -67.01660156 +1554322408.93499994 +988
+14.47998047 +2.75097656 -4.54394531 -131.92382813 +74.15771484 -92.10937500 +1554322408.93910003 +660
+16.22021484 -2.18847656 -5.62939453 +141.94335938 +54.27246094 -67.06054688 +1554322408.93910003 +988
+14.47998047 +2.74658203 -4.54394531 -131.90185547 +74.17968750 -92.13134766 +1554322408.94330001 +660
+16.22021484 -2.18847656 -5.62500000 +141.94335938 +54.31640625 -67.12646484 +1554322408.94330001 +988
+14.47558594 +2.74658203 -4.53955078 -131.85791016 +74.20166016 -92.13134766 +1554322408.94749999 +660
+16.22021484 -2.18847656 -5.62060547 +141.92138672 +54.33837891 -67.19238281 +1554322408.94749999 +988
+14.47558594 +2.74658203 -4.53955078 -131.83593750 +74.22363281 -92.13134766 +1554322408.95160007 +660
+16.22021484 -2.18408203 -5.62060547 +141.92138672 +54.36035156 -67.25830078 +1554322408.95160007 +988
+14.47558594 +2.74658203 -4.53515625 -131.81396484 +74.24560547 -92.13134766 +1554322408.95580006 +660
+16.22021484 -2.18408203 -5.61621094 +141.89941406 +54.38232422 -67.30224609 +1554322408.95580006 +988
+14.47558594 +2.74218750 -4.53515625 -131.77001953 +74.26757813 -92.13134766 +1554322408.96000004 +660
+16.22021484 -2.18847656 -5.61181641 +141.87744141 +54.40429688 -67.36816406 +1554322408.96000004 +992
+14.47558594 +2.74218750 -4.53076172 -131.77001953 +74.26757813 -92.13134766 +1554322408.96409988 +660
+16.21582031 -2.18847656 -5.61181641 +141.85546875 +54.42626953 -67.43408203 +1554322408.96409988 +992
+14.47558594 +2.74218750 -4.53076172 -131.74804688 +74.26757813 -92.15332031 +1554322408.96830010 +660
+16.21582031 -2.18847656 -5.60742188 +141.85546875 +54.44824219 -67.47802734 +1554322408.96830010 +992
