Sensor position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
----------------------------------------------------------------------------------------------------------------

+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.27810001 +724
+5.64257813 -0.51416016 -8.66601563 -110.65429688 -76.02539063 +133.26416016 +1554389072.27810001 +200
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.28230000 +724
+5.63818359 -0.51416016 -8.66601563 -110.56640625 -76.02539063 +133.19824219 +1554389072.28230000 +200
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.28640008 +724
+5.63378906 -0.51416016 -8.66601563 -110.47851563 -76.04736328 +133.13232422 +1554389072.28640008 +200
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.29060006 +724
+5.63378906 -0.51416016 -8.66601563 -110.39062500 -76.04736328 +133.06640625 +1554389072.29060006 +200
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.29480004 +724
+5.62500000 -0.51416016 -8.66601563 -110.21484375 -76.04736328 +132.95654297 +1554389072.29480004 +200
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.29889989 +724
+5.61621094 -0.50976563 -8.66601563 -110.03906250 -76.04736328 +132.82470703 +1554389072.29889989 +204
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.30310011 +724
+5.61181641 -0.50976563 -8.66601563 -109.86328125 -76.04736328 +132.69287109 +1554389072.30310011 +204
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.30719995 +724
+5.59863281 -0.50976563 -8.66601563 -109.57763672 -76.04736328 +132.47314453 +1554389072.30719995 +208
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.31139994 +724
+5.58984375 -0.50537109 -8.66601563 -109.31396484 -76.06933594 +132.27539063 +1554389072.31139994 +208
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.31559992 +724
+5.57666016 -0.50537109 -8.66601563 -109.07226563 -76.09130859 +132.07763672 +1554389072.31559992 +208
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.31970000 +724
+5.56347656 -0.50537109 -8.66601563 -108.76464844 -76.09130859 +131.81396484 +1554389072.31970000 +212
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.32389998 +724
+5.55468750 -0.50537109 -8.66601563 -108.50097656 -76.11328125 +131.59423828 +1554389072.32389998 +212
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.32809997 +724
+5.54150391 -0.50537109 -8.66601563 -108.25927734 -76.13525391 +131.37451172 +1554389072.32809997 +216
+5.29101563 -0.06591797 -1.36669922 +29.24560547 -2.63671875 +155.76416016 +1554389072.33220005 +724
